activity,confidence,timestamp,phone_lat,phone_long
Still,100,Thu Oct 28 20:53:14 GMT+02:00 2021,55.8250249,9.8643549
Still,100,Thu Oct 28 20:53:17 GMT+02:00 2021,55.8250249,9.8643549
Still,100,Thu Oct 28 20:53:21 GMT+02:00 2021,55.8250249,9.8643549
Still,100,Thu Oct 28 20:53:24 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:53:28 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:53:31 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:53:35 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:53:39 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:53:43 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:53:46 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:53:49 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:53:53 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:53:56 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:00 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:03 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:06 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:10 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:13 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:16 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:20 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:23 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:26 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:29 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:32 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:36 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:39 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:43 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:47 GMT+02:00 2021,55.8250432,9.864309
Still,100,Thu Oct 28 20:54:51 GMT+02:00 2021,55.8250218,9.8642973
Still,100,Thu Oct 28 20:54:55 GMT+02:00 2021,55.8250114,9.8642937
Still,100,Thu Oct 28 20:54:58 GMT+02:00 2021,55.8250091,9.8642788
Still,100,Thu Oct 28 20:55:01 GMT+02:00 2021,55.8250091,9.8642826
Still,100,Thu Oct 28 20:55:04 GMT+02:00 2021,55.8250094,9.8642846
Still,100,Thu Oct 28 20:55:08 GMT+02:00 2021,55.8250107,9.8643186
Still,100,Thu Oct 28 20:55:11 GMT+02:00 2021,55.8250107,9.8643415
Still,100,Thu Oct 28 20:55:15 GMT+02:00 2021,55.8249945,9.8643576
Still,100,Thu Oct 28 20:55:18 GMT+02:00 2021,55.824973,9.8643722
Still,100,Thu Oct 28 20:55:21 GMT+02:00 2021,55.8249595,9.8643635
Still,100,Thu Oct 28 20:55:25 GMT+02:00 2021,55.8249791,9.8643948
Still,100,Thu Oct 28 20:55:28 GMT+02:00 2021,55.8249806,9.8643983
Still,100,Thu Oct 28 20:55:31 GMT+02:00 2021,55.82499,9.8644243
Still,100,Thu Oct 28 20:55:35 GMT+02:00 2021,55.8249774,9.8644359
Still,100,Thu Oct 28 20:55:38 GMT+02:00 2021,55.8249813,9.8644093
Still,100,Thu Oct 28 20:55:42 GMT+02:00 2021,55.8249917,9.8644058
Still,100,Thu Oct 28 20:55:45 GMT+02:00 2021,55.8249981,9.8643975
Still,100,Thu Oct 28 20:55:49 GMT+02:00 2021,55.8250016,9.8644128
Still,100,Thu Oct 28 20:55:52 GMT+02:00 2021,55.8250115,9.864437
Still,100,Thu Oct 28 20:55:55 GMT+02:00 2021,55.8250299,9.8644795
Still,100,Thu Oct 28 20:55:59 GMT+02:00 2021,55.8250534,9.8643342
Still,100,Thu Oct 28 20:56:02 GMT+02:00 2021,55.8250394,9.8642552
Still,100,Thu Oct 28 20:56:05 GMT+02:00 2021,55.8250361,9.8642036
Walking,97,Thu Oct 28 20:56:09 GMT+02:00 2021,55.8250143,9.8641286
Walking,97,Thu Oct 28 20:56:12 GMT+02:00 2021,55.8249987,9.8640606
Walking,97,Thu Oct 28 20:56:15 GMT+02:00 2021,55.8249829,9.8639973
Walking,98,Thu Oct 28 20:56:19 GMT+02:00 2021,55.8249601,9.8639099
Walking,98,Thu Oct 28 20:56:22 GMT+02:00 2021,55.8249326,9.8638289
Walking,98,Thu Oct 28 20:56:25 GMT+02:00 2021,55.8249096,9.8637688
Walking,96,Thu Oct 28 20:56:28 GMT+02:00 2021,55.8248824,9.8636993
Walking,96,Thu Oct 28 20:56:32 GMT+02:00 2021,55.824859,9.8636061
Walking,97,Thu Oct 28 20:56:35 GMT+02:00 2021,55.824845,9.863535
Walking,97,Thu Oct 28 20:56:38 GMT+02:00 2021,55.8248316,9.8634625
